"","countryName","_1976_1980","_1981_1985","_1986_1990","_1991_1995","_1996_2000","_2001_2005","_2006_2010","_2011_2015","africa"
"48","Afghanistan",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"49","Albania",-100,-100,-100,-100,27,30.6,30,29,"no"
"50","Algeria",-100,-100,40.2,35.3,-100,-100,-100,27.6,"yes"
"51","American Samoa",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"52","Andorra",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"53","Angola",-100,-100,-100,-100,-100,-100,42.7,-100,"yes"
"54","Antigua and Barbuda",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"55","Argentina",40.8,-100,45.3,48.9,51.1,49.3,44.5,42.7,"no"
"56","Armenia",-100,-100,-100,-100,36.2,36,31.1,32.4,"no"
"57","Aruba",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"58","Australia",-100,32.5,33.2,32.6,-100,33.5,34.7,-100,"no"
"59","Austria",-100,-100,-100,-100,-100,28.7,30.3,30.5,"no"
"60","Azerbaijan",-100,-100,-100,34.7,-100,16.6,31.8,-100,"no"
"61","Bahamas, The",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"62","Bahrain",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"63","Bangladesh",-100,26.9,28.9,32.9,33.4,33.2,32.1,-100,"no"
"64","Barbados",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"65","Belarus",-100,-100,-100,-100,31.2,27.5,28.6,26.7,"no"
"66","Belgium",-100,-100,-100,-100,-100,29.3,28.4,28.1,"no"
"67","Belize",-100,-100,-100,60.9,53.3,-100,-100,-100,"no"
"68","Benin",-100,-100,-100,-100,-100,38.6,-100,47.8,"yes"
"69","Bermuda",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"70","Bhutan",-100,-100,-100,-100,-100,46.8,38.1,38.8,"no"
"71","Bolivia",-100,-100,42,-100,63,58.5,49.7,45.8,"no"
"72","Bosnia and Herzegovina",-100,-100,-100,-100,-100,34,33.1,33.8,"no"
"73","Botswana",-100,54.2,-100,60.8,-100,64.7,60.5,-100,"yes"
"74","Brazil",-100,55.6,60.5,59.6,59,56.6,53.9,51.3,"no"
"75","British Virgin Islands",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"76","Brunei Darussalam",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"77","Bulgaria",-100,-100,-100,30.7,-100,-100,35.7,37.4,"no"
"78","Burkina Faso",-100,-100,-100,48.1,49.9,43.3,39.8,35.3,"yes"
"79","Burundi",-100,-100,-100,33.3,42.3,-100,33.4,39.2,"yes"
"80","Cabo Verde",-100,-100,-100,-100,-100,52.5,47.2,-100,"yes"
"81","Cambodia",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"82","Cameroon",-100,-100,-100,-100,44.5,42.1,42.8,46.5,"yes"
"83","Canada",-100,32.4,31.5,31.3,33.3,33.7,33.6,34,"no"
"84","Cayman Islands",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"85","Central African Republic",-100,-100,-100,61.3,-100,43.6,56.2,-100,"yes"
"86","Chad",-100,-100,-100,-100,-100,39.8,-100,43.3,"yes"
"87","Channel Islands",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"88","Chile",-100,-100,57.3,56.4,52.8,51.5,49,47.7,"no"
"89","China",-100,-100,-100,-100,-100,-100,42.8,42.2,"no"
"90","Colombia",-100,-100,-100,51.5,58.7,55,55.5,51.1,"no"
"91","Comoros",-100,-100,-100,-100,-100,55.9,-100,45,"yes"
"92","Congo, Dem. Rep.",-100,-100,-100,-100,-100,42.2,-100,42.1,"yes"
"93","Congo, Rep.",-100,-100,-100,-100,-100,47.3,-100,48.9,"yes"
"94","Costa Rica",-100,47.5,45.3,45.7,47.4,47.8,48.1,48.2,"no"
"95","Cote d'Ivoire",-100,45.5,36.9,40.6,39,41.3,43.2,41.7,"yes"
"96","Croatia",-100,-100,22.8,-100,-100,-100,32.4,32.2,"no"
"97","Cuba",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"98","Curacao",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"99","Cyprus",-100,-100,-100,-100,-100,30.3,31.5,35.6,"no"
"100","Czech Republic",-100,-100,19.4,26.6,25.8,27,26.6,25.9,"no"
"101","Denmark",-100,-100,-100,-100,-100,25.2,27.3,28.5,"no"
"102","Djibouti",-100,-100,-100,-100,-100,40,-100,44.1,"yes"
"103","Dominica",-100,-100,-100,-100,-100,-100,-100,-100,"no"
"104","Dominican Republic",-100,-100,50.5,51.4,52,50,47.2,44.9,"no"
"105","Ecuador",-100,-100,50.5,53.4,56.4,54.1,49.3,46.5,"no"
"106","Egypt, Arab Rep.",-100,-100,32,30.1,32.8,31.9,31.5,31.8,"yes"
"107","El Salvador",-100,-100,-100,49.9,51.3,47.9,44.5,40.8,"no"
"108","Equatorial Guinea",-100,-100,-100,-100,-100,-100,-100,-100,"yes"
"109","Eritrea",-100,-100,-100,-100,-100,-100,-100,-100,"yes"
"110","Estonia",-100,-100,23,39.5,-100,33.5,32,34.6,"no"
"111","Ethiopia",-100,-100,-100,44.6,30,29.8,33.2,-100,"yes"
